code,name_en,definition_en,unit_code,topic,source_concept
CENSUS_INDV57_E_CLERICAL,Population By Occupation And Industry: e_clerical (Census 2021),"Source column e_clerical from Indv57_PopulationByOccupationAndIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv57_PopulationByOccupationAndIndustry:e_clerical
CENSUS_INDV57_F_SERVICE,Population By Occupation And Industry: f_service (Census 2021),"Source column f_service from Indv57_PopulationByOccupationAndIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv57_PopulationByOccupationAndIndustry:f_service
CENSUS_INDV57_G_SKILLAGRI,Population By Occupation And Industry: g_skillagri (Census 2021),"Source column g_skillagri from Indv57_PopulationByOccupationAndIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv57_PopulationByOccupationAndIndustry:g_skillagri
CENSUS_INDV57_H_CRAFT,Population By Occupation And Industry: h_craft (Census 2021),"Source column h_craft from Indv57_PopulationByOccupationAndIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv57_PopulationByOccupationAndIndustry:h_craft
CENSUS_INDV57_I_PLANT,Population By Occupation And Industry: i_plant (Census 2021),"Source column i_plant from Indv57_PopulationByOccupationAndIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv57_PopulationByOccupationAndIndustry:i_plant
CENSUS_INDV57_J_ELEMENTARY,Population By Occupation And Industry: j_elementary (Census 2021),"Source column j_elementary from Indv57_PopulationByOccupationAndIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv57_PopulationByOccupationAndIndustry:j_elementary
CENSUS_INDV57_K_NOTSTD,Population By Occupation And Industry: k_notstd (Census 2021),"Source column k_notstd from Indv57_PopulationByOccupationAndIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv57_PopulationByOccupationAndIndustry:k_notstd
CENSUS_INDV58_ROWTOTAL,Population By Lit Sts And Occupation: rowtotal (Census 2021),"Source column rowtotal from Indv58_PopulationByLitStsAndOccupation.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv58_PopulationByLitStsAndOccupation:rowtotal
CENSUS_INDV58_A_ARMED,Population By Lit Sts And Occupation: a_armed (Census 2021),"Source column a_armed from Indv58_PopulationByLitStsAndOccupation.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv58_PopulationByLitStsAndOccupation:a_armed
CENSUS_INDV58_B_MANAGR,Population By Lit Sts And Occupation: b_managr (Census 2021),"Source column b_managr from Indv58_PopulationByLitStsAndOccupation.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv58_PopulationByLitStsAndOccupation:b_managr
